-64,36,3,0,1,2,3,13,41,44,53,198,84,16,36,118,50,104,156,30,32,2,22,2008-12-31
-63,50,3,0,1,3,3,45,27,40,53,80,158,16,232,206,50,66,166,30,32,2,22,2008-12-31
-62,20,4,0,4,7,3,13,13,21,53,46,38,16,24,24,50,84,70,30,32,2,22,2008-12-31
-61,30,4,0,3,2,1,20,23,27,20,74,56,28,34,50,20,68,26,22,128,48,82,2008-12-31
-21,20,4,1,7,2,4,16,4,18,20,20,62,144,32,0,16,26,82,10,40,4,22,2008-12-31
-20,20,3,0,1,2,1,8,47,12,41,42,16,36,44,56,46,110,12,32,126,92,60,2008-12-31
-19,20,3,0,1,2,1,4,4,13,41,30,80,36,80,28,46,28,28,32,126,92,60,2008-12-31
-18,10,3,0,1,2,1,0,0,10,41,26,20,36,0,64,46,20,4,32,126,92,60,2008-12-31
-17,20,3,0,1,2,1,4,14,0,41,60,20,36,36,20,46,24,18,32,126,92,60,2008-12-31
-16,20,3,0,1,2,1,4,4,14,41,18,48,36,72,28,46,56,42,32,126,92,60,2008-12-31
-15,20,3,0,2,1,1,22,16,8,41,40,74,36,8,20,46,58,160,32,126,92,60,2008-12-31
-14,20,3,0,9,1,1,23,35,33,41,92,80,36,28,112,46,12,18,32,126,92,60,2008-12-31
-13,30,4,0,2,3,1,54,30,63,41,36,84,36,28,42,46,48,58,32,126,92,60,2008-12-31
-12,16,4,0,1,2,3,4,4,12,7,0,16,12,22,8,10,4,84,26,46,24,36,2008-12-31
-11,12,3,0,1,2,1,14,10,10,42,4,60,55,28,60,87,28,0,73,61,56,122,2008-12-31
-10,20,3,0,1,2,1,25,27,23,42,14,170,55,54,46,87,26,28,73,61,56,122,2008-12-31
-9,14,3,1,2,4,1,10,14,14,42,28,36,55,50,40,87,4,40,73,61,56,122,2008-12-31
-8,12,3,0,2,1,1,0,12,6,42,0,26,55,14,2,87,8,20,73,61,56,122,2008-12-31
-7,20,4,0,8,2,1,46,31,63,42,38,102,55,79,110,87,57,60,73,61,56,122,2008-12-31
-6,20,3,0,1,2,2,10,2,18,19,62,24,106,32,40,40,44,66,40,30,40,20,2008-12-31
-5,30,3,0,2,1,2,17,26,24,19,74,44,106,182,102,18,18,16,40,30,40,20,2008-12-31
-4,16,3,0,2,1,2,2,6,4,19,14,0,106,46,16,18,28,10,40,30,40,20,2008-12-31
-3,20,3,0,2,4,2,18,21,24,19,148,20,106,24,48,18,84,48,40,30,40,20,2008-12-31
